COMM       PID  SYSCALL_ID ARGS[0]              ARGS[1]              ARGS[2]              ARGS[3]              ARGS[4]              ARGS[5]             
b'df'      1187966 257        b''                  b'/proc/self/mountinfo' b''                  b''                  b''                  b''                 
b'df'      1187966 5          b''                  b'\xf0Co\xe6\xa6U'   b'\xf0Co\xe6\xa6U'   b'\x01'              b''                  b'\xd0\x02'         
b'df'      1187966 0          b''                  b''                  b''                  b'\x01'              b''                  b'\x90\xbeh\x10:\x7f'
b'df'      1187966 0          b''                  b'24 29 0:22 / /sys rw,nosuid,nodev,noexec,relatime ' b''                  b''                  b''                  b''                 
b'df'      1187966 0          b''                  b'md rw,nosuid,nodev,noexec,relatime shared:11 - cgr' b''                  b''                  b''                  b''                 
b'df'      1187966 0          b''                  b's/cgroup/freezer rw,nosuid,nodev,noexec,relatime s' b''                  b''                  b''                  b''                 
b'df'      1187966 0          b''                  b' 0:21 / /sys/kernel/config rw,nosuid,nodev,noexec,' b''                  b''                  b''                  b''                 
b'df'      1187966 0          b''                  b'nome-characters/761 ro,nodev,relatime shared:95 - ' b''                  b''                  b''                  b''                 
b'df'      1187966 0          b''                  b'e=1633156k,mode=755\n1253 28 0:56 / /run/user/120 r' b''                  b''                  b''                  b''                 
b'df'      1187966 0          b''                  b' /snap/docker/1690 ro,nodev,relatime shared:630 - ' b''                  b''                  b''                  b''                 
b'df'      1187966 8          b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 3          b''                  b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 4          b'/dev'              b'\x05'              b'\x05'              b''                  b''                  b''                 
b'df'      1187966 4          b'/run'              b'\x17'              b'\x17'              b''                  b''                  b''                 
b'df'      1187966 4          b'/'                 b'\x18'              b'\x18'              b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/kernel/security' b'\x01\x08'          b'\x01\x08'          b''                  b''                  b''                 
b'df'      1187966 4          b'/dev/shm'          b'\x07'              b'\x07'              b''                  b''                  b''                 
b'df'      1187966 4          b'/run/lock'         b'\x19'              b'\x19'              b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/fs/cgroup'    b'\x1a'              b'\x1a'              b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/fs/cgroup/unified' b'\x1b'              b'\x1b'              b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/fs/cgroup/systemd' b'\x1c'              b'\x1c'              b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/fs/pstore'    b'\x1d'              b'\x1d'              b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/fs/bpf'       b'\x1e'              b'\x1e'              b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/fs/cgroup/rdma' b'\x1f'              b'\x1f'              b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/fs/cgroup/cpuset' b' '                 b' '                 b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/fs/cgroup/pids' b'!'                 b'!'                 b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/fs/cgroup/net_cls,net_prio' b'"'                 b'"'                 b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/fs/cgroup/devices' b'#'                 b'#'                 b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/fs/cgroup/perf_event' b'$'                 b'$'                 b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/fs/cgroup/memory' b'%'                 b'%'                 b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/fs/cgroup/freezer' b'&'                 b'&'                 b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/fs/cgroup/hugetlb' b"'"                 b"'"                 b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/fs/cgroup/blkio' b'('                 b'('                 b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/fs/cgroup/cpu,cpuacct' b')'                 b')'                 b''                  b''                  b''                 
b'df'      1187966 4          b'/dev/hugepages'    b'\x14'              b'\x14'              b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/kernel/tracing' b'\x08'              b'\x08'              b''                  b''                  b''                 
b'df'      1187966 4          b'/sys/kernel/config' b'-'                 b'-'                 b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/bare/5'      b'\x15'              b'\x15'              b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/gnome-calculator/884' b''                  b''                  b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/gnome-3-38-2004/87' b'\x05\x07'          b'\x05\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/gnome-3-26-1604/59' b'\x03\x07'          b'\x03\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/gnome-3-38-2004/99' b'\x02\x07'          b'\x02\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/gnome-characters/741' b'\x06\x07'          b'\x06\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/gnome-logs/106' b'\x08\x07'          b'\x08\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/gnome-calculator/920' b'\t\x07'            b'\t\x07'            b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/gtk-common-themes/1519' b'\n\x07'            b'\n\x07'            b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/gnome-3-26-1604/104' b'\x0b\x07'          b'\x0b\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/gnome-characters/761' b'\x0c\x07'          b'\x0c\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/gnome-3-34-1804/77' b'\x0e\x07'          b'\x0e\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/snap-store/558' b'\x0f\x07'          b'\x0f\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/gnome-3-34-1804/72' b'\x10\x07'          b'\x10\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/gtk-common-themes/1515' b'\x11\x07'          b'\x11\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/gnome-system-monitor/174' b'\x12\x07'          b'\x12\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/gnome-system-monitor/169' b'\x13\x07'          b'\x13\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/gnome-logs/25' b'\x15\x07'          b'\x15\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/core18/2284' b'\x16\x07'          b'\x16\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/proc/sys/fs/binfmt_misc' b'\x17\x07'          b'\x17\x07'          b''                  b''                  b''                 
b'df'      1187966 4          b'/run/snapd/ns'     b'/'                 b'/'                 b''                  b''                  b''                 
b'df'      1187966 4          b'/run/user/120'     b'\x18'              b'\x18'              b''                  b''                  b''                 
b'df'      1187966 4          b'/run/user/120/gvfs' b'8'                 b'8'                 b''                  b''                  b''                 
b'df'      1187966 4          b'/run/user/1000'    b'9'                 b'9'                 b''                  b''                  b''                 
b'df'      1187966 4          b'/run/user/1000/gvfs' b'>'                 b'>'                 b''                  b''                  b''                 
b'df'      1187966 4          b'/run/user/1000/doc' b'?'                 b'?'                 b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/core20/1376' b'B'                 b'B'                 b''                  b''                  b''                 
b'df'      1187966 4          b'/snap/core/12821'  b'\x18\x07'          b'\x18\x07'          b''                  b''                  b''                 
